name,scientific name,status,breeds in Iowa,range,habitat,preferred food sources,nesting information,months you can see them,image,image credit
Ovenbird,Seiurus aurocapilla,common,yes,"Breeds across eastern and northern North America; winters in Mexico, Central America, Caribbean, and northern South America",Mature deciduous and mixed forests,insects caterpillars,Ground nests hidden in leaf litter,April to September,images/thumbnails/ovenbird.jpg,
Worm-eating Warbler,Helmitheros vermivorum,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and Caribbean","Steep wooded slopes, mature forest, dense understory","caterpillars, insects",Nest on ground in leaf litter,May to August,images/thumbnails/worm-eating-warbler.jpg,
Louisiana Waterthrush,Parkesia motacilla,uncommon,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and Caribbean","Wooded streams, ravines, flowing water","aquatic insects, insects, beetles",Nest near water on banks or in cavities,April to August,images/thumbnails/louisiana-waterthrush.jpg,
Northern Waterthrush,Parkesia noveboracensis,uncommon,no,Breeds across Canada and northern U.S.; winters from Mexico to northern South America,"Boggy woods, swamps, wet thickets, stream edges","aquatic insects, insects, spiders",Ground nest near water in wet areas,May to August,images/thumbnails/northern-waterthrush.jpg,
Golden-winged Warbler,Vermivora chrysoptera,rare,no,Breeds locally in Great Lakes and Appalachian regions; winters in Central and northern South America,"Young forest, shrubby fields, regenerating woodland","insects, caterpillars, spiders",Ground nest in cup-shaped depression,May to July,images/thumbnails/golden-winged-warbler.jpg,
Blue-winged Warbler,Vermivora cyanoptera,uncommon,yes,Breeds in eastern and central U.S.; winters in Central America and Caribbean,"Shrubby fields, old fields, forest edges, young growth","insects, caterpillars, beetles",Ground nest hidden in vegetation,May to August,images/thumbnails/blue-winged-warbler.jpg,
Black-and-white Warbler,Mniotilta varia,common,yes,"Breeds across eastern North America; winters in southeastern U.S., Mexico, Caribbean, and Central America","Deciduous and mixed forest, especially tall trees","insects, caterpillars, spiders, beetles",Nest at base of trees on ground,April to August,images/thumbnails/black-and-white-warbler.jpg,
Prothonotary Warbler,Protonotaria citrea,uncommon,yes,Breeds in southeastern and midwestern U.S.; winters in Central America and northern South America,"Wooded swamps, flooded forests, bottomlands","insects, caterpillars, beetles, spiders",Cavity nest in tree holes and nest boxes,April to August,images/birds/prothonotary-warbler.jpg,
Tennessee Warbler,Leiothlypis peregrina,common,no,Breeds in Canadian boreal forest; migrates through much of eastern North America; winters in Central and northern South America,Boreal forest in summer; varied habitats during migration,"insects, caterpillars, spiders, berries",Cup nest in trees,May to August,images/thumbnails/tennessee-warbler.jpg,
Orange-crowned Warbler,Leiothlypis celata,uncommon,no,"Breeds in Canada, Alaska, and western mountains; winters in southern U.S. and Mexico","Shrubby woodland, brushy edges, riparian thickets","insects, caterpillars, spiders, berries",Cup nest in shrubs and small trees,April to September,images/thumbnails/orange-crowned-warbler.jpg,
Nashville Warbler,Leiothlypis ruficapilla,uncommon,no,Breeds in northern and western North America; winters in Mexico and Central America,"Brushy openings, young forests, woodland edges","insects, caterpillars, spiders, berries",Nest on ground in shrubby areas,May to August,images/thumbnails/nashville-warbler.jpg,
Connecticut Warbler,Oporornis agilis,rare,no,Breeds in boreal bogs and northern forest; winters in South America,"Boggy boreal forest, tamarack, spruce, dense understory","insects, caterpillars, spiders, beetles",Ground nest in mossy areas,May to August,images/thumbnails/connecticut-warbler.jpg,
